Typ;WP;Standard-Nutzungs-/Biotoptyp
01.127;33;Eichenaufforstung vor Kronenschluss
02.200;41;Trockene bis frische, basenreiche, voll entwickelte Gebüsche/Hecken heimischer Arten
02.400;27;Hecken-/Gebüschpflanzung (heimisch, standortgerecht)
02.500;23;Hecken-/Gebüschpflanzung (standortfremd, Ziergehölze)
03.222;23;Obstplantage mit Untersaat
04.110*;31;Einzelbaum (heimisch, standortgerecht, Obstbaum)
04.120*;26;Einzelbaum (nicht heimisch, nicht standortgerecht, Exot)
04.210*;33;Baumgruppe, einheimisch, Standortgerecht, Obstbäume
04.600;56;Feldgehölz (Baumhecke), großflächig
05.243;7;Naturfern ausgebaute Gräben
05.345;25;Periodische/temporäre Becken
06.310;44;Extensiv genutzte Frischwiese
06.320;27;Intensiv genutzte Frischwiesen
06.930;21;Naturnahe Grünlandeinsaat (Kräuterwiese), Ansaaten des
09.130;39;Landschaftsbaus
09.160;13;Straßenränder, intensiv gepflegt, artenarm
09.210;39;Ausdauernde Ruderalfluren meist frischer Standorte
09.220;36;Wärmeliebende ausdauernde Ruderalflur meist trockener Standorte
10.510;3;Sehr stark oder völlig versiegelte Flächen (Ortbeton, Asphalt)
10.520;3;Nahezu versiegelte Flächen, Pflaster
10.530;6;Schotter-, Kies-, u. Sandflächen, -wege, -plätze
10.610;21;Bewachsene Feldwege
10.710;3;Dachflächen nicht begrünt
11.191;16;Acker, intensiv genutzt
11.211;14;Einzelgärten in der Landschaft
11.221;14;Arten- und strukturarme Grünanlagen
11.222;25;Arten- und strukturreiche Grünanlagen
